family,file,machine,arch,dotnet,upx,n_exec,max_entropy,tag
everyday,UAC.dll,0x14c,x86,0,0,1,6.21,plain
everyday,UAccCOM.dll,0x8664,x64,0,0,1,6.04,plain
everyday,Uninstall Bitwarden.exe,0x14c,x86,0,0,1,6.52,plain
everyday,Uninstall Obsidian.exe,0x14c,x86,0,0,1,6.52,plain
everyday,Uninstall Signal.exe,0x14c,x86,0,0,1,6.52,plain
everyday,Uninstall draw.io.exe,0x14c,x86,0,0,1,6.52,plain
everyday,Update.exe,0x14c,x86,1,0,1,5.84,dotnet
everyday,Update_c91b844d.exe,0x14c,x86,1,0,1,5.84,dotnet
everyday,UserInfo.dll,0x14c,x86,0,0,1,5.82,plain
everyday,UserInfo_e0dc3112.dll,0x14c,x86,0,0,1,5.82,plain
everyday,VSCodeUserSetup-x64-1.136.0.exe,0x14c,x86,0,0,2,6.38,plain
everyday,Video.dll,0x8664,x64,0,0,1,6.54,plain
everyday,VideoExport.dll,0x8664,x64,0,0,1,6.49,plain
everyday,Volumeid64.exe,0x8664,x64,0,0,1,6.48,plain
everyday,WebView2Loader.dll,0x8664,x64,0,0,1,6.48,plain
everyday,WinSCP_6.5.6_User_X86_inno_en-US.exe,0x14c,x86,0,0,2,6.38,plain
everyday,WinShell.dll,0x14c,x86,0,0,1,5.93,plain
everyday,WinShell_9725d5d2.dll,0x14c,x86,0,0,1,5.93,plain
everyday,Windows App Runtime 2.0_2.3.1_X64_exe_en-US.exe,0x8664,x64,0,0,1,6.25,plain
everyday,WizTree_4.32_Machine_X64_inno_en-US.exe,0x14c,x86,0,0,2,6.40,plain
everyday,ZString.dll,0x14c,x86,1,0,1,5.56,dotnet
everyday,ZoomInstallerFull.exe,0x14c,x86,0,0,1,6.66,plain
everyday,_cvpcb.dll,0x8664,x64,0,0,1,6.39,plain
everyday,_freeze_module.exe,0x8664,x64,0,0,1,6.38,plain
everyday,affine_uno_uno.dll,0x8664,x64,0,0,1,5.91,plain
everyday,aja-output-ui.dll,0x8664,x64,0,0,1,6.38,plain
everyday,aja.dll,0x8664,x64,0,0,1,6.39,plain
everyday,antiword.exe,0x14c,x86,0,0,1,6.74,plain
everyday,api-ms-win-core-console-l1-1-0.dll,0x8664,x64,0,0,0,0.00,no_exec
everyday,api-ms-win-core-console-l1-1-0_59d78aec.dll,0x8664,x64,0,0,0,0.00,no_exec
everyday,api-ms-win-core-console-l1-2-0.dll,0x8664,x64,0,0,0,0.00,no_exec
everyday,api-ms-win-core-datetime-l1-1-0.dll,0x8664,x64,0,0,0,0.00,no_exec
everyday,api-ms-win-core-debug-l1-1-0.dll,0x8664,x64,0,0,0,0.00,no_exec
everyday,api-ms-win-core-debug-l1-1-0_d9100e99.dll,0x14c,x86,0,0,1,4.61,plain
everyday,api-ms-win-core-errorhandling-l1-1-0.dll,0x8664,x64,0,0,0,0.00,no_exec
everyday,api-ms-win-core-errorhandling-l1-1-0_3c5d7dda.dll,0x8664,x64,0,0,0,0.00,no_exec
everyday,api-ms-win-core-errorhandling-l1-1-0_44822ae1.dll,0x8664,x64,0,0,0,0.00,no_exec
