stage,config_id,dataset,variant,row_align,crops,tta,lr,weight_decay,batch_size,epochs,patience,warmup_epochs,schedule,grad_clip,label_smoothing,loss,focal_gamma,sampler,amp,monitor,dropout,drop_path,width,depth,heads,mlp_ratio,aug_p,aug_max_shift,threshold,seed,device,folds,cv_macro_f1,cv_balanced_accuracy,cv_accuracy,cv_recall_goodware,cv_recall_ransomware,cv_macro_f1_at_0.5,cv_macro_f1_nested_thr,cv_balanced_accuracy_nested_thr,cv_auc,threshold_used,threshold_refit_all_oof,threshold_nested,cv_n,epochs_mean,seconds_per_epoch,seconds_total,wall_seconds
loss,loss_017,mendeley,head3,False,1,False,0.0003,0.01,16,80,8,5,cosine,1.0,0.15,weighted_ce,2.0,natural,bf16,val_loss,0.15,0.0,32,6,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.7219206684862344,0.7200542968812063,0.7333994053518335,0.848294434470377,0.5918141592920354,0.7219206684862344,0.7149335264508401,0.7132175370585151,0.8024613328355126,0.5,0.3598,0.360;0.367;0.529,2018,15.666666666666666,2.61177921295166,123.1001877784729,124.3
loss,loss_018,mendeley,head3,False,1,False,0.0003,0.01,16,80,8,5,cosine,1.0,0.15,focal,2.0,natural,bf16,val_loss,0.15,0.0,32,6,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.6638259780505623,0.6629800130280739,0.6709613478691774,0.7396768402154399,0.5862831858407079,0.6638259780505623,0.639045172200722,0.6532943550309019,0.7695093420822676,0.5,0.4685,0.474;0.473;0.384,2018,13.0,2.5755410194396973,100.75113606452942,102.4
loss,loss_019,mendeley,head3,False,1,False,0.0003,0.01,16,80,8,5,cosine,1.0,0.15,focal,2.0,class,bf16,val_loss,0.15,0.0,32,6,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.6238777323054472,0.6443355682305651,0.6273538156590683,0.48114901256732495,0.8075221238938053,0.6238777323054472,0.6422420676971538,0.6416266821308845,0.7123983174719182,0.5,0.5588,0.578;0.559;0.573,2018,13.0,2.526862621307373,98.87914872169495,100.1
loss,loss_020,mendeley,head3,False,1,False,0.0003,0.01,16,80,8,5,cosine,1.0,0.15,ce,2.0,natural,bf16,val_loss,0.15,0.0,32,6,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.620155897072501,0.6349458222780064,0.6630327056491576,0.9048473967684022,0.36504424778761063,0.620155897072501,0.7023140274509448,0.7009083903973563,0.7194967310656011,0.5,0.2655,0.266;0.266;0.274,2018,16.666666666666668,2.4618351459503174,123.02513217926025,124.2
loss,loss_021,mendeley,head3,False,1,False,0.0003,0.01,16,80,8,5,cosine,1.0,0.15,ce,2.0,cell,bf16,val_loss,0.15,0.0,32,6,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.6495449454533018,0.6553965221397817,0.6778989098116948,0.8716337522441652,0.4391592920353982,0.6495449454533018,0.5965074987401882,0.5995446132091959,0.6969567730096439,0.5,0.2433,0.243;0.325;0.152,2018,14.333333333333334,2.4755396842956543,106.49707293510437,107.7
decision,decision_022,mendeley,head3,False,1,False,0.0003,0.01,16,80,8,5,cosine,1.0,0.15,ce,2.0,class,bf16,val_loss,0.15,0.0,32,6,8,2.0,0.4,0.2,oof_macro_f1,1337,cuda,3,0.7016555318812434,0.7104093516150045,0.7016848364717542,0.6265709156193896,0.7942477876106194,0.7273612665872873,0.7016555318812434,0.7104093516150045,0.7985434772247026,0.569,0.569,0.569;0.271;0.569,2018,16.333333333333332,2.47627854347229,121.41683650016785,122.5
decision,decision_023,mendeley,head3,False,1,False,0.0003,0.01,16,80,8,5,cosine,1.0,0.15,ce,2.0,class,bf16,val_loss,0.15,0.0,32,6,8,2.0,0.4,0.2,oof_bal_acc,1337,cuda,3,0.7016555318812434,0.7104093516150045,0.7016848364717542,0.6265709156193896,0.7942477876106194,0.7273612665872873,0.7016555318812434,0.7104093516150045,0.7985434772247026,0.569,0.569,0.569;0.271;0.569,2018,16.333333333333332,2.5066051483154297,123.30481219291687,124.5
capacity,capacity_024,mendeley,head3,False,1,False,0.0003,0.01,16,80,8,5,cosine,1.0,0.15,ce,2.0,class,bf16,val_loss,0.0,0.0,32,6,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.7089670962281627,0.708148305555997,0.7135777998017839,0.7603231597845601,0.6559734513274337,0.7089670962281627,0.7117924352612011,0.71385106687215,0.7658620771833939,0.5,0.4122,0.412;0.412;0.450,2018,14.0,2.445235252380371,102.71851992607117,103.9
capacity,capacity_025,mendeley,head3,False,1,False,0.0003,0.01,16,80,8,5,cosine,1.0,0.15,ce,2.0,class,bf16,val_loss,0.3,0.0,32,6,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.7279219307026523,0.7263419313325177,0.7338949454905848,0.7989228007181328,0.6537610619469026,0.7279219307026523,0.6997111954822448,0.6983971099918972,0.7733904569358605,0.5,0.5985,0.256;0.599;0.666,2018,13.666666666666666,2.543210029602051,104.85404062271118,106.0
capacity,capacity_026,mendeley,head3,False,1,False,0.0003,0.01,16,80,8,5,cosine,1.0,0.15,ce,2.0,class,bf16,val_loss,0.15,0.1,32,6,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.6699217051837167,0.6767319791550817,0.7016848364717542,0.9165170556552962,0.43694690265486724,0.6699217051837167,0.6460717047389504,0.6551353648655089,0.7632326305587772,0.5,0.2063,0.206;0.133;0.206,2018,14.333333333333334,2.701786994934082,116.20459771156311,117.4
capacity,capacity_027,mendeley,head3,False,1,False,0.0003,0.01,16,80,8,5,cosine,1.0,0.15,ce,2.0,class,bf16,val_loss,0.15,0.0,32,3,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.72200775868894,0.7217096169428512,0.7413280475718533,0.9102333931777379,0.5331858407079646,0.72200775868894,0.7101199454140632,0.7093587645572839,0.7917280667609349,0.5,0.2034,0.203;0.193;0.368,2018,14.666666666666666,1.7601815462112427,77.6549026966095,78.4
capacity,capacity_028,mendeley,head3,False,1,False,0.0003,0.01,16,80,8,5,cosine,1.0,0.15,ce,2.0,class,bf16,val_loss,0.15,0.0,32,8,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.6611286176299858,0.662237253936226,0.6788899900891973,0.822262118491921,0.5022123893805309,0.6611286176299858,0.6502058962695063,0.6520441762920831,0.7463586930617563,0.5,0.4313,0.431;0.431;0.141,2018,15.0,2.9869978427886963,134.73461437225342,136.1
capacity,capacity_029,mendeley,head3,False,1,False,0.0003,0.01,16,80,8,5,cosine,1.0,0.15,ce,2.0,class,bf16,val_loss,0.15,0.0,16,6,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.6563580651547931,0.6566198900557665,0.6709613478691774,0.7944344703770198,0.5188053097345132,0.6563580651547931,0.6287658008838753,0.6286562018398183,0.7206317225655773,0.5,0.3103,0.244;0.310;0.698,2018,18.666666666666668,2.8402762413024902,159.62811970710754,160.6
capacity,capacity_030,mendeley,head3,False,1,False,0.0003,0.01,16,80,8,5,cosine,1.0,0.15,ce,2.0,class,bf16,val_loss,0.3,0.0,16,3,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.7265297612842698,0.7265772707773948,0.7294350842418236,0.7540394973070018,0.6991150442477876,0.7265297612842698,0.6822222397190707,0.6856381373031887,0.7837587979218633,0.5,0.5623,0.207;0.562;0.562,2018,18.0,1.874199390411377,101.80726957321167,102.5
capacity,capacity_031,mendeley,head3,False,1,False,0.0003,0.01,16,80,8,5,cosine,1.0,0.15,ce,2.0,class,bf16,val_loss,0.15,0.0,32,6,8,2.0,0.0,0.2,argmax,1337,cuda,3,0.6548026657337678,0.6544293465308781,0.6595639246778989,0.703770197486535,0.6050884955752213,0.6548026657337678,0.6081504216155396,0.6107336632719531,0.7120547417422666,0.5,0.6014,0.116;0.601;0.601,2018,16.333333333333332,2.334829330444336,113.77699899673462,114.9
combine,combine_001,mendeley,head3,False,1,False,0.0003,0.1,16,80,8,5,plateau,1.0,0.15,ce,2.0,class,bf16,val_loss,0.15,0.0,32,6,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.7257105267526603,0.7241484088273145,0.7403369672943508,0.8797127468581688,0.5685840707964602,0.7257105267526603,0.6589004584437124,0.6621449055464641,0.767875867876265,0.5,0.7249,0.725;0.206;0.560,2018,15.666666666666666,1.3601982593536377,64.50528979301453,66.9
combine,combine_002,mendeley,head3,False,1,False,0.0003,0.1,16,80,8,5,cosine,1.0,0.0,ce,2.0,class,bf16,val_loss,0.15,0.0,32,6,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.6970494832265142,0.6977040005719642,0.7165510406342914,0.8788150807899462,0.5165929203539823,0.6970494832265142,0.6525052036045385,0.6535902670755152,0.7563104733003925,0.5,0.3769,0.160;0.377;0.367,2018,13.333333333333334,1.3345847129821777,53.511382818222046,54.3
combine,combine_003,mendeley,head3,False,1,False,0.0003,0.1,16,80,8,5,cosine,1.0,0.15,ce,2.0,class,bf16,val_loss,0.3,0.0,32,6,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.7332107526554925,0.7310934049347801,0.7413280475718533,0.829443447037702,0.6327433628318584,0.7332107526554925,0.7363691840748476,0.7340495464005974,0.7706726338952352,0.5,0.6758,0.599;0.676;0.676,2018,14.0,1.2917773723602295,55.13956022262573,55.9
