stage,config_id,dataset,variant,row_align,crops,tta,lr,weight_decay,batch_size,epochs,patience,warmup_epochs,schedule,grad_clip,label_smoothing,loss,focal_gamma,sampler,amp,monitor,dropout,drop_path,width,depth,heads,mlp_ratio,aug_p,aug_max_shift,threshold,seed,device,folds,cv_macro_f1,cv_balanced_accuracy,cv_accuracy,cv_recall_goodware,cv_recall_ransomware,cv_macro_f1_at_0.5,cv_macro_f1_nested_thr,cv_balanced_accuracy_nested_thr,cv_auc,threshold_used,threshold_refit_all_oof,threshold_nested,cv_n,epochs_mean,seconds_per_epoch,seconds_total,wall_seconds
capacity,capacity_027,balanced,head3,False,1,False,0.0003,0.01,16,80,8,5,cosine,1.0,0.15,ce,2.0,class,bf16,val_loss,0.15,0.0,32,3,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.7556446711347657,0.752751572327044,0.7659890927119485,0.8805031446540881,0.625,0.7556446711347657,0.7865769018604885,0.7846647425041147,0.8393214941678793,0.5,0.2898,0.290;0.284;0.290,2017,16.666666666666668,1.7813048362731934,81.67435646057129,82.5
capacity,capacity_028,balanced,head3,False,1,False,0.0003,0.01,16,80,8,5,cosine,1.0,0.15,ce,2.0,class,bf16,val_loss,0.15,0.0,32,8,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.7293420940522252,0.7278259149710977,0.7446703024293505,0.8903863432165319,0.5652654867256637,0.7293420940522252,0.738238685739956,0.7358858303715542,0.7730795148247978,0.5,0.3491,0.336;0.349;0.213,2017,19.0,1.9844675064086914,132.19503569602966,133.2
capacity,capacity_029,balanced,head3,False,1,False,0.0003,0.01,16,80,8,5,cosine,1.0,0.15,ce,2.0,class,bf16,val_loss,0.15,0.0,16,6,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.782330776425905,0.7795104517011346,0.7882994546355975,0.8643306379155435,0.6946902654867256,0.782330776425905,0.7461893331408196,0.7446752578139286,0.8468929147882227,0.5,0.3509,0.710;0.713;0.201,2017,14.666666666666666,1.580072045326233,68.35898423194885,69.0
capacity,capacity_030,balanced,head3,False,1,False,0.0003,0.01,16,80,8,5,cosine,1.0,0.15,ce,2.0,class,bf16,val_loss,0.3,0.0,16,3,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.7979825439977106,0.7939873895793081,0.8056519583539911,0.9065588499550764,0.6814159292035398,0.7979825439977106,0.7961121660119806,0.7928160953812147,0.851750033792111,0.5,0.4015,0.448;0.403;0.327,2017,18.666666666666668,1.1171746253967285,62.54832482337952,63.0
capacity,capacity_031,balanced,head3,False,1,False,0.0003,0.01,16,80,8,5,cosine,1.0,0.15,ce,2.0,class,bf16,val_loss,0.15,0.0,32,6,8,2.0,0.0,0.2,argmax,1337,cuda,3,0.7505161408545338,0.7479163188067012,0.7590480912245909,0.8553459119496856,0.6404867256637168,0.7505161408545338,0.726621564190625,0.7245848539783253,0.7810549499479204,0.5,0.5789,0.652;0.635;0.400,2017,13.0,1.3899736404418945,56.05823063850403,56.8
combine,combine_001,balanced,stride3,False,1,False,0.003,0.01,16,80,8,5,cosine,1.0,0.15,ce,2.0,class,bf16,val_loss,0.15,0.0,32,6,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.7599080814113014,0.7576330415285166,0.7659890927119485,0.8382749326145552,0.6769911504424779,0.7599080814113014,0.7639748821435892,0.7640023574966803,0.8453653125969038,0.5,0.3385,0.339;0.463;0.184,2017,19.666666666666668,1.7245564460754395,114.34320712089539,116.9
combine,combine_002,balanced,stride3,False,1,False,0.0003,0.001,16,80,8,5,cosine,1.0,0.15,ce,2.0,class,bf16,val_loss,0.15,0.0,32,6,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.7976665010041593,0.793919805357441,0.80466038671294,0.8975741239892183,0.6902654867256637,0.7976665010041593,0.739347647367741,0.7382482964800547,0.8732199508622952,0.5,0.1634,0.287;0.696;0.131,2017,14.0,1.3620353937149048,66.64116024971008,67.4
combine,combine_003,balanced,stride3,False,1,False,0.0003,0.01,16,80,8,5,cosine,1.0,0.15,ce,2.0,class,bf16,val_loss,0.3,0.0,16,3,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.8007203006162938,0.7971007362704641,0.8071393158155676,0.8939802336028752,0.7002212389380531,0.8007203006162938,0.819196446456472,0.8172587243279346,0.8446333158409465,0.5,0.302,0.326;0.302;0.308,2017,18.333333333333332,1.011237382888794,61.18655610084534,61.6
combine,combine_004,balanced,stride3,False,1,False,0.001,0.01,16,80,8,5,cosine,1.0,0.15,ce,2.0,class,bf16,val_loss,0.15,0.0,32,6,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.8114420854566213,0.8112496918954591,0.8135845314823996,0.8337825696316262,0.7887168141592921,0.8114420854566213,0.742973055850016,0.7406246769871749,0.8321242714818436,0.5,0.512,0.541;0.810;0.351,2017,16.0,2.5681777000427246,120.57855033874512,121.6
combine,combine_005,balanced,stride3,False,1,False,0.0001,0.01,16,80,8,5,cosine,1.0,0.15,ce,2.0,class,bf16,val_loss,0.15,0.0,32,6,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.8063910118111677,0.8026655018327251,0.8125929598413485,0.8984725965858041,0.706858407079646,0.8063910118111677,0.8076068302245322,0.8057838179519595,0.8378937774809373,0.5,0.2666,0.467;0.240;0.240,2017,14.666666666666666,1.2990329265594482,58.07565140724182,58.9
combine,combine_006,balanced,mnem1s,False,1,False,0.003,0.01,16,80,8,5,cosine,1.0,0.15,ce,2.0,class,bf16,val_loss,0.15,0.0,32,6,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.8421181033203426,0.8449210457266894,0.842835894893406,0.8247978436657682,0.8650442477876106,0.8421181033203426,0.8363004013184757,0.8356848667000613,0.8867134389237411,0.5,0.5505,0.584;0.550;0.550,2017,18.0,1.321782112121582,72.07555675506592,72.9
combine,combine_007,balanced,mnem1s,False,1,False,0.0003,0.001,16,80,8,5,cosine,1.0,0.15,ce,2.0,class,bf16,val_loss,0.15,0.0,32,6,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.7871173735699465,0.7834109557999189,0.7952404561229549,0.8975741239892183,0.6692477876106194,0.7871173735699465,0.7795944502679931,0.781392374114448,0.8693562205312914,0.5,0.133,0.150;0.126;0.133,2017,21.333333333333332,1.314368724822998,84.50044417381287,85.3
combine,combine_008,balanced,mnem1s,False,1,False,0.0003,0.01,16,80,8,5,cosine,1.0,0.15,ce,2.0,class,bf16,val_loss,0.3,0.0,16,3,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.7600154569920778,0.7573741343256287,0.7759048091224591,0.9362084456424079,0.5785398230088495,0.7600154569920778,0.7519433893953207,0.7553704609243932,0.8562970604839029,0.5,0.2117,0.158;0.212;0.212,2017,20.666666666666668,0.8641067743301392,53.70042037963867,54.1
combine,combine_009,balanced,stride3,False,1,False,0.0003,0.01,16,80,8,5,cosine,1.0,0.15,weighted_ce,2.0,natural,bf16,val_loss,0.15,0.0,32,6,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.7934795702033344,0.7913694948675747,0.7977193852255825,0.8526504941599281,0.7300884955752213,0.7934795702033344,0.7181224790521827,0.7201824376436164,0.831490172459032,0.5,0.6438,0.644;0.644;0.100,2017,19.333333333333332,1.367323398590088,81.03659439086914,81.8
combine,combine_010,balanced,stride3,False,1,False,0.0003,0.001,16,80,8,5,cosine,1.0,0.15,ce,2.0,class,bf16,val_loss,0.3,0.0,16,3,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.804920510185577,0.8021511660266043,0.8096182449181953,0.8742138364779874,0.7300884955752213,0.804920510185577,0.6877943675289249,0.7051722801326241,0.8493502969730218,0.5,0.2866,0.313;0.165;0.281,2017,18.0,0.9037104845046997,55.39711332321167,55.8
combine,combine_011,balanced,stride3,False,1,False,0.001,0.001,16,80,8,5,cosine,1.0,0.15,ce,2.0,class,bf16,val_loss,0.15,0.0,32,6,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.8214090619860013,0.8196788358021452,0.8244918195339613,0.8661275831087152,0.7732300884955752,0.8214090619860013,0.7694468842872786,0.7677289316127185,0.8742734696149289,0.5,0.1446,0.226;0.703;0.145,2017,17.0,1.3972234725952148,80.47273921966553,81.3
combine,combine_012,balanced,stride3,False,1,False,0.0003,0.01,16,80,8,5,cosine,1.0,0.15,ce,2.0,class,bf16,val_loss,0.15,0.0,32,3,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.8097397736120261,0.808585581502596,0.8125929598413485,0.8472596585804133,0.7699115044247787,0.8097397736120261,0.7126133674896922,0.7171466140304845,0.8707098927398643,0.5,0.3686,0.369;0.724;0.155,2017,15.333333333333334,0.9584678411483765,50.383923053741455,50.9
combine,combine_013,balanced,stride3,False,1,False,0.0003,0.01,16,80,8,5,cosine,1.0,0.15,ce,2.0,class,bf16,val_loss,0.15,0.0,16,6,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.7987334544926177,0.7971782593484881,0.8021814576103123,0.8454627133872417,0.7488938053097345,0.7987334544926177,0.7350187114771922,0.7351424039310164,0.8598000103364103,0.5,0.6809,0.681;0.797;0.137,2017,19.666666666666668,1.3496062755584717,89.75770449638367,90.4
combine,combine_014,balanced,mnem1,False,1,False,0.003,0.01,16,80,8,5,cosine,1.0,0.15,ce,2.0,class,bf16,val_loss,0.15,0.0,32,6,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.7063084905124624,0.7088754979366935,0.7317798710956867,0.9299191374663073,0.48783185840707965,0.7063084905124624,0.7836516962569947,0.7812060205615057,0.8162032178040693,0.5,0.205,0.205;0.413;0.188,2017,17.666666666666668,1.4061040878295898,80.52600383758545,81.3
combine,combine_015,balanced,stride3,False,1,False,0.0003,0.01,16,80,8,5,cosine,1.0,0.15,ce,2.0,cell,bf16,val_loss,0.15,0.0,32,6,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.6358073456066502,0.6353145449196542,0.6445215666831928,0.7241689128481581,0.5464601769911505,0.6358073456066502,0.5992057092021068,0.6020496903052421,0.7218645890481755,0.5,0.1246,0.125;0.811;0.120,2017,14.666666666666666,1.3957231044769287,69.7321424484253,70.8
combine,combine_016,balanced,mnem1s,False,1,False,0.0003,0.01,16,80,8,5,cosine,1.0,0.15,ce,2.0,cell,bf16,val_loss,0.15,0.0,32,6,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.6291150858638932,0.6323964967519817,0.6504709965294992,0.8068283917340521,0.4579646017699115,0.6291150858638932,0.6530773115980427,0.6532626283106331,0.6796070573829799,0.5,0.1456,0.146;0.173;0.146,2017,16.666666666666668,1.307052493095398,70.69289374351501,71.5
cvseed,cvseed_001,balanced,head3,False,1,False,0.0003,0.01,16,80,8,5,cosine,1.0,0.15,ce,2.0,class,bf16,val_loss,0.15,0.0,32,6,8,2.0,0.4,0.2,argmax,7,cuda,3,0.8014366954505476,0.8000476071209917,0.80466038671294,0.8445642407906558,0.7555309734513275,0.8014366954505476,0.8098800342759211,0.8069551121500529,0.8085890601022508,0.5,0.6496,0.676;0.649;0.650,2017,15.333333333333334,1.3449729681015015,62.101568937301636,64.5
cvseed,cvseed_002,balanced,mnem1s,False,1,False,0.003,0.01,16,80,8,5,cosine,1.0,0.15,ce,2.0,class,bf16,val_loss,0.15,0.0,32,6,8,2.0,0.4,0.2,argmax,7,cuda,3,0.675966363509852,0.6754004365145625,0.6886465047099652,0.8032345013477089,0.547566371681416,0.675966363509852,0.6799714549489282,0.6905089887015083,0.7987192789956189,0.5,0.152,0.152;0.215;0.114,2017,14.333333333333334,1.347501277923584,59.94288468360901,60.7
