cv_rank,track,tokenizer,vocab_size,sampling,budget,ngram,embedding,w2v,pooling,n_features,classifier,clf_params,weighting,cv_macro_f1,cv_balanced_accuracy,cv_roc_auc,cv_macro_f1_bal_threshold,cv_macro_f1_f1_threshold,cv_macro_f1_fold_std,threshold,threshold_rule,oof_threshold_bal_rule,oof_threshold_f1_rule,spec
26,tfidf,SW,,head,20000,1-3,tfidf,,,65244,LinearSVC,"{""C"": ""0.1"", ""class_weight"": ""None""}",class_arch,0.925521,0.921718,0.987577,0.944882,0.943844,0.020363,0.0,default,-0.26520013,-0.26520013,"LinearSVC(C=0.1,class_weight=None)|w=class_arch"
27,tfidf,SW,,strided,20000,1-2,tfidf,,,15832,LogReg,"{""C"": ""1.0"", ""class_weight"": ""balanced""}",none,0.925241,0.922312,0.980651,0.921185,0.925042,0.036227,0.5,default,0.42567058,0.42567058,"LogReg(C=1.0,class_weight=balanced)|w=none"
28,tfidf,SW,,head,50000,1-3,tfidf,,,87269,LinearSVC,"{""C"": ""1.0"", ""class_weight"": ""balanced""}",none,0.923801,0.919329,0.989541,0.937015,0.937015,0.013084,0.0,default,-0.64109785,-0.26596439,"LinearSVC(C=1.0,class_weight=balanced)|w=none"
29,tfidf,SW,,strided,50000,1-3,tfidf,,,117800,LogReg,"{""C"": ""0.1"", ""class_weight"": ""balanced""}",none,0.92314,0.922049,0.971932,0.92399,0.923453,0.033776,0.5,default,0.47210041,0.47210041,"LogReg(C=0.1,class_weight=balanced)|w=none"
30,tfidf,SW,,head,50000,1-3,tfidf,,,87269,LinearSVC,"{""C"": ""0.1"", ""class_weight"": ""None""}",class_arch,0.922905,0.918849,0.987976,0.945092,0.945092,0.021802,0.0,default,-0.3436177,-0.3436177,"LinearSVC(C=0.1,class_weight=None)|w=class_arch"
31,tfidf,SW,,strided,20000,1-2,tfidf,,,15832,LinearSVC,"{""C"": ""1.0"", ""class_weight"": ""balanced""}",none,0.922527,0.918921,0.987626,0.936118,0.936118,0.013857,0.0,default,-0.60006742,-0.34890593,"LinearSVC(C=1.0,class_weight=balanced)|w=none"
32,tfidf,SW,,head,50000,1-2,tfidf,,,15661,LogReg,"{""C"": ""10.0"", ""class_weight"": ""balanced""}",none,0.922481,0.918713,0.987261,0.924114,0.924902,0.013104,0.5,default,0.07664087,0.25915108,"LogReg(C=10.0,class_weight=balanced)|w=none"
33,tfidf,SW,,strided,50000,1-2,tfidf,,,18667,LogReg,"{""C"": ""1.0"", ""class_weight"": ""balanced""}",none,0.922167,0.919098,0.981145,0.929484,0.919688,0.031026,0.5,default,0.32702895,0.41872189,"LogReg(C=1.0,class_weight=balanced)|w=none"
34,tfidf,SW,,strided,50000,1-3,tfidf,,,117800,LinearSVC,"{""C"": ""0.01"", ""class_weight"": ""balanced""}",none,0.922117,0.920943,0.971431,0.934064,0.934064,0.03307,0.0,default,-0.04616076,-0.04616076,"LinearSVC(C=0.01,class_weight=balanced)|w=none"
35,tfidf,SW,,strided,20000,1-3,tfidf,,,100174,LinearSVC,"{""C"": ""0.01"", ""class_weight"": ""balanced""}",none,0.921642,0.920598,0.967723,0.91594,0.912266,0.029334,0.0,default,-0.05644999,-0.05644999,"LinearSVC(C=0.01,class_weight=balanced)|w=none"
36,tfidf,SW,,strided,20000,1-2,tfidf,,,15832,LogReg,"{""C"": ""10.0"", ""class_weight"": ""balanced""}",none,0.921606,0.918336,0.986132,0.937072,0.943938,0.014846,0.5,default,0.24248731,0.28494598,"LogReg(C=10.0,class_weight=balanced)|w=none"
37,tfidf,SW,,head,20000,1-2,tfidf,,,11867,LinearSVC,"{""C"": ""0.1"", ""class_weight"": ""balanced""}",none,0.921019,0.91747,0.985325,0.925729,0.932612,0.035841,0.0,default,-0.13410813,-0.13410813,"LinearSVC(C=0.1,class_weight=balanced)|w=none"
38,tfidf,SW,,head,50000,1-3,tfidf,,,87269,LinearSVC,"{""C"": ""1.0"", ""class_weight"": ""None""}",none,0.920598,0.915698,0.989639,0.936027,0.936521,0.012843,0.0,default,-0.65466522,-0.30628024,"LinearSVC(C=1.0,class_weight=None)|w=none"
39,tfidf,SW,,strided,50000,1-2,tfidf,,,18667,LinearSVC,"{""C"": ""0.1"", ""class_weight"": ""balanced""}",none,0.920571,0.91723,0.983015,0.919353,0.933058,0.018401,0.0,default,-0.09747021,-0.09747021,"LinearSVC(C=0.1,class_weight=balanced)|w=none"
40,tokenizer,WP,,head,20000,1-1,tfidf,,,11406,LinearSVC,"{""C"": ""0.1"", ""class_weight"": ""balanced""}",none,0.920501,0.916917,0.985194,0.930574,0.937206,0.034897,0.0,default,-0.16093565,-0.16093565,"LinearSVC(C=0.1,class_weight=balanced)|w=none"
41,tfidf,SW,,head,20000,1-2,tfidf,,,11867,LinearSVC,"{""C"": ""0.01"", ""class_weight"": ""balanced""}",none,0.920341,0.918032,0.976634,0.926396,0.924855,0.018237,0.0,default,-0.11782271,-0.11782271,"LinearSVC(C=0.01,class_weight=balanced)|w=none"
42,tfidf,SW,,strided,20000,1-3,tfidf,,,100174,LogReg,"{""C"": ""0.1"", ""class_weight"": ""balanced""}",none,0.920163,0.919252,0.968758,0.918926,0.920404,0.029551,0.5,default,0.47391584,0.47391584,"LogReg(C=0.1,class_weight=balanced)|w=none"
43,tfidf,SW,,head,50000,1-2,tfidf,,,15661,LinearSVC,"{""C"": ""1.0"", ""class_weight"": ""balanced""}",none,0.919711,0.915217,0.987891,0.938124,0.938124,0.021763,0.0,default,-0.64103302,-0.64103302,"LinearSVC(C=1.0,class_weight=balanced)|w=none"
44,tfidf,SW,,head,20000,1-2,tfidf,,,11867,LinearSVC,"{""C"": ""0.1"", ""class_weight"": ""None""}",none,0.918922,0.915154,0.985657,0.926222,0.933107,0.035751,0.0,default,-0.20072308,-0.20072308,"LinearSVC(C=0.1,class_weight=None)|w=none"
45,tfidf,SW,,strided,50000,1-2,tfidf,,,18667,LogReg,"{""C"": ""10.0"", ""class_weight"": ""balanced""}",none,0.918277,0.914079,0.986062,0.930951,0.938762,0.012843,0.5,default,0.24568764,0.35307812,"LogReg(C=10.0,class_weight=balanced)|w=none"
46,tfidf,SW,,head,50000,1-2,tfidf,,,15661,LogReg,"{""C"": ""10.0"", ""class_weight"": ""None""}",none,0.917157,0.91266,0.986748,0.923511,0.933713,0.0159,0.5,default,0.23277492,0.23277492,"LogReg(C=10.0,class_weight=None)|w=none"
